"id","prevExp","jobResp","training","research","gathering","engage","metrics","socialMedia","degree","security","position","newsroom","engageFreq","subregion","researchFreq"
286,"7","null","23,24","15","null","16","null","null","3","8","8",1,"null","null","null"
287,"1,2","1:3,2:3,3:2,4:3,5:2,6:0,7:3,8:3,9:2,10:2,11:3,12:3,13:2,14:0,15:0,16:2,17:2,18:1,19:1,20:0,21:2,22:2,23:2,24:1,25:2","17,19,23,24","2,3,6,15","1,2,8,9,10,14,16,17,20","2,13,16","22","1:2,2:1,3:2,4:2,5:1,6:2,7:2,8:2,9:2,10:2,11:1,12:2","4","8","8",4,"1:2,2:2,3:2,4:2,5:0,6:0,7:0","Europe","1:3,2:3,3:2,4:2,5:2,6:1,7:2,8:1,9:1"
288,"1,2,3","1:2,2:2,3:2,4:2,5:0,6:0,7:2,8:3,9:2,10:0,11:2,12:2,13:2,14:0,15:2,16:2,17:2,18:0,19:0,20:0,21:0,22:0,23:1,24:1,25:1","11,16,18,19,23,24","1,4,15","1,2,3,5,8,9,10,11,12,14,15,17,19,20","2,7,16","23","1:2,2:3,3:3,4:2,5:3,6:2,7:3,8:1,9:2,10:1,11:1,12:2","1","7,8","7",1,"1:2,2:2,3:1,4:1,5:1,6:0,7:0","North America","1:3,2:3,3:2,4:2,5:2,6:1,7:2,8:2,9:2"
289,"2,4","1:3,2:2,3:3,4:3,5:1,6:1,7:1,8:2,9:2,10:3,11:2,12:2,13:3,14:2,15:3,16:2,17:2,18:2,19:1,20:2,21:2,22:2,23:2,24:2,25:2","1,2,5,23,24","1,3,4,15","1,2,3,7,9,10,11,17,18,20","1,2,4,5,11,12,13,16","4","1:3,2:3,3:3,4:2,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2","4","6,8","6",6,"1:3,2:3,3:2,4:3,5:3,6:1,7:2","South Asia","1:3,2:3,3:2,4:3,5:2,6:3,7:1,8:2,9:2"
290,"1,2","null","23,24","15","null","16","null","null","1","8","8",6,"null","null","null"
291,"1,2,3,5","1:3,2:3,3:3,4:3,5:0,6:3,7:0,8:3,9:3,10:3,11:3,12:3,13:3,14:0,15:3,16:3,17:3,18:3,19:0,20:3,21:3,22:3,23:3,24:3,25:3","1,4,5,23,24","1,3,4,15","1,2,3,5,7,9,10,11,14,16,17,18,20,21","2,4,5,7,11,16","1,2,3,4,5,6,7,8,9,11,12,16,17,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","4,8","10",1,"1:3,2:3,3:3,4:3,5:3,6:3,7:3","South Asia","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:0"
292,"1,3,5","1:3,2:3,3:2,4:2,5:1,6:1,7:3,8:2,9:3,10:2,11:3,12:3,13:1,14:0,15:2,16:3,17:1,18:0,19:1,20:0,21:2,22:0,23:1,24:2,25:2","1,2,4,5,6,7,8,10,23,24","1,2,3,4,6,9,12,15","1,2,5,9,10,11,12,13,14,15,18,19,20,21","2,11,13,16","2,6,8,9,10,17,18,19,20,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","4,8","8",1,"1:3,2:3,3:2,4:1,5:2,6:0,7:0","South Asia","1:3,2:3,3:2,4:3,5:1,6:3,7:1,8:2,9:0"
293,"1,2,3,5,6","null","23,24","15","null","16","null","null","4","8","6",6,"null","null","null"
294,"2,3,5,6","1:2,2:3,3:1,4:1,5:1,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:0,14:0,15:1,16:3,17:3,18:2,19:1,20:3,21:3,22:3,23:0,24:3,25:3","1,4,19,23,24","1,4,8,15","1,2,3,7,9,12,14,17,18,19,20,21","1,2,13,16","2,4,7,8,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","2,8","4",6,"1:3,2:3,3:1,4:3,5:3,6:3,7:3","South Asia","1:2,2:3,3:1,4:1,5:2,6:3,7:3,8:3,9:0"
295,"1,2,3,4","1:3,2:3,3:2,4:2,5:1,6:1,7:2,8:3,9:3,10:3,11:2,12:3,13:3,14:1,15:1,16:3,17:3,18:2,19:1,20:1,21:1,22:2,23:1,24:2,25:2","1,5,11,15,16,23,24","1,4,9,15","1,2,4,5,8,9,10,12,14,15,16,17,18,20,21","1,2,13,16","1,2,3,4,5,6,7,8,11,16,19,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","6,8","8",1,"1:3,2:3,3:1,4:2,5:1,6:1,7:2","Sub-Saharan Africa","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3"
296,"1,2,3,6","1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:3,9:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:1,22:3,23:0,24:0,25:3","4,5,11,14,16,18,19,20,23,24","4,15","2,9,10,11,14,20,21","2,6,16","5,6,7,8,9","1:3,2:3,3:3,4:2,5:3,6:0,7:3,8:3,9:1,10:1,11:0,12:2","4","6,8","6",6,"1:0,2:3,3:2,4:0,5:2,6:0,7:0","Europe","1:2,2:3,3:2,4:2,5:2,6:1,7:1,8:1"
297,"1,2,3,5,6","1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:3,9:0,10:0,11:0,12:2,13:0,14:0,15:0,16:2,17:1,18:0,19:0,20:2,21:1,22:2,23:0,24:0,25:2","1,2,4,5,11,14,15,16,20,21,23,24","4,9,14,15","1,2,5,9,10,11,16,17,18,19,20","2,13,15,16","2,3,4,6,7,8,9,17,18,19,20,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:1,11:1,12:3","3","2,3,4,8","6",4,"1:2,2:3,3:0,4:2,5:2,6:0,7:1","North America","1:2,2:3,3:1,4:3,5:3,6:1,7:1,8:3,9:2"
298,"1,3","1:2,2:2,3:0,4:0,5:2,6:1,7:1,8:3,9:1,10:1,11:1,12:3,13:1,14:0,15:1,16:3,17:1,18:0,19:1,20:0,21:2,22:2,23:0,24:0,25:2","23,24","15","null","16","null","null","null","8","4",1,"null","null","null"
299,"3,4,6","1:1,2:3,3:3,4:3,5:1,6:0,7:1,8:2,9:2,10:3,11:3,12:3,13:1,14:0,15:3,16:2,17:2,18:1,19:0,20:0,21:1,22:2,23:2,24:2,25:3","1,5,15,23,24","1,2,3,15","1,7,8,10,12,18,19,20,21","2,4,7,16","1,3,4,6,8,15,18","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:2,10:3,11:3,12:3","3","6,8","1",6,"1:3,2:1,3:2,4:3,5:3,6:2,7:2","Europe","1:3,2:1,3:1,4:3,5:1,6:3,7:3,8:3,9:0"
300,"1,3,4,5","1:2,2:1,3:1,4:1,5:1,6:2,7:2,8:3,9:2,10:3,11:2,12:3,13:0,14:0,15:3,16:3,17:3,18:2,19:0,20:0,21:0,22:1,23:0,24:2,25:3","11,16,20,23,24","4,6,15","1,2,3,5,7,8,9,10,11,12,14,15,17,18,19,20","2,8,13,16","2,4,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:2,9:2,10:1,11:1,12:3","3","6,8","7",1,"1:3,2:3,3:1,4:1,5:1,6:2,7:2","South Asia","1:3,2:3,3:2,4:2,5:2,6:2,7:3,8:3,9:3"
301,"1","1:3,2:3","5,23,24","1,15","1,2,9,10,11,12,14,18,20","1,2,4,5,11,13,16","2","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","3","6,8","5",1,"1:3,2:3,3:3,4:3,5:3,6:3,7:3","South Asia","1:3,3:3,4:3,5:3,6:3,7:3,8:3,9:2"
302,"1,2,3,5","null","23,24","15","null","16","null","null","1,4","8","8",4,"null","null","null"
303,"7","null","23,24","15","null","16","null","null","1","8","null",6,"null","null","null"
304,"1,2,3,6","1:3,2:2,3:0,4:0,5:0,6:3,7:1,8:2,9:2,10:2,11:2,12:3,13:0,14:0,15:2,16:2,17:2,18:1,19:2,20:0,21:2,22:0,23:1,24:1,25:2","23,24","1,4,12,15","1,2,5,17,18,21","16","null","null","1","8","8",6,"null","null","1:3,2:3,3:1,4:2,5:0,6:2,7:1,8:2,9:2"
305,"1,3","null","23,24","15","null","16","null","null","4","8","4",4,"null","null","null"
306,"3,4,6","1:3,2:3,3:0,4:2,5:0,6:1,7:2,8:2,9:2,10:2,11:3,12:3,13:1,14:0,15:2,16:3,17:3,18:3,19:3,20:3,21:2,22:2,23:0,25:2","5,23,24","1,2,3,4,15","2,3,5,9,10,20,21","1,2,4,13,16","4,6,7,12","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","2,3,4,5,8","8",6,"1:3,2:3,3:3,4:3,5:3,6:2,7:3","South Asia","1:3,2:3,3:3,4:3,5:1,6:2,7:3,8:3,9:1"
307,"7","1:2,2:2,3:3,4:0,5:1,6:2,7:1,8:3,9:3,10:2,11:2,12:1,13:0,14:0,15:2,16:1,17:2,18:1,19:0,20:0,21:3,22:2,23:0,24:3,25:0","23,24","1,4,7,8,9,15","1,2,8,9,10,12,14,15,16,18,19,20,21","16","null","null","1","8","3",1,"null","null","1:3,2:2,3:2,4:3,5:1,6:3,7:3,8:3,9:2"
308,"1,2,3,4,5,6","1:3,2:3,3:1,4:1,5:1,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:2,14:1,15:3,16:2,17:2,18:2,19:2,20:2,21:2,22:3,23:3,24:3,25:3","1,4,6,7,8,11,13,14,17,18,23,24","3,4,5,15","1,2,3,5,7,8,9,10,11,12,13,14,15,16,17,21","2,13,16","1,2,4,5,7,8,10,18,20,21","1:3,2:3,3:2,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","2,3,8","6",4,"1:3,2:3,3:1,4:2,5:2,6:2,7:3","South Asia","1:3,2:3,3:2,4:3,5:3,6:1,7:2,8:3,9:3"
309,"1,2,3,5","1:3,2:2,3:1,4:1,5:0,6:3,7:3,8:3,9:1,10:1,11:2,12:3,13:1,14:0,15:2,16:3,17:3,18:1,19:1,20:0,21:0,22:3,23:1,24:3,25:3","1,6,14,23,24","1,2,4,15","1,2,5,7,8,9,10,12,14,15,17,18,19,20","1,2,3,4,7,11,12,13,16","1,2,3,4,6,7,8,12,14,15,17,18,21","1:3,2:3,3:3,4:2,5:1,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","2,3,4,5,8","8",4,"1:3,2:3,3:1,4:2,5:3,6:3,7:2","North America","1:3,2:3,3:1,4:2,5:1,6:3,7:3,8:3,9:3"
310,"1,2,3,4,6","null","23,24","15","null","16","null","null","null","8","8",6,"null","null","null"
311,"3,4,6","1:3,2:1,3:1,4:1,5:0,6:0,7:2,8:3,9:3,10:2,11:3,12:3,13:2,14:0,15:0,16:3,17:1,18:0,19:0,20:0,21:2,22:2,23:0,24:0,25:1","1,10,15,18,23,24","1,4,5,9,15","2,9,11,14,18,19,20,21","1,2,5,7,16","1,2,4,6,7,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:1,11:1,12:3","4","8","6",4,"1:3,2:3,3:2,4:2,5:1,6:0,7:0","Middle East and North Africa","1:1,2:3,3:1,4:2,5:3,6:3,7:0,8:1,9:2"
312,"1","null","23,24","15","null","16","null","null","4","8","8",1,"null","null","null"
313,"1,2,3,4,5,6,7","1:3,2:3,3:3,4:3,5:1,6:3,7:2,8:3,9:3,10:2,11:3,12:3,13:3,14:2,15:3,16:3,17:3,18:3,19:3,20:2,21:3,22:3,23:2,24:3,25:3","23,24","4,7,9,15","1,2,3,7,9,12,16,17","16","null","null","2,4","8","10",4,"null","null","1:3,2:3,3:3,4:3,5:3,6:3,7:1,8:2,9:1"
314,"1,2,3","1:2,2:2,3:3,4:0,5:0,6:2,7:3,8:3,9:2,10:0,12:3,13:0,14:0,15:0,16:3,17:3,18:1,19:0,20:3,21:1,22:2,23:1,24:3,25:3","23,24","15","1,2,9,12,18","16","null","null","1","8","3",1,"null","null","1:3,2:3,3:1,4:2,6:3,7:1,8:3,9:3"
315,"1","null","23,24","15","null","16","null","null","1","8","8",4,"null","null","null"
316,"1,3,5","1:2,2:1,3:1,4:1,5:1,6:2,7:1,8:1,9:1,10:1,11:2,12:3,13:1,14:1,15:1,16:3,17:3,18:3,19:3,20:1,21:3,22:3,23:1,24:1,25:3","2,3,4,6,7,8,9,12,13,17,18,23,24","1,4,9,15","1,2,7,8,9,10,12,15,20","2,8,11,13,16","1,2,3,4,6,7,8,9","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,4","4,8","5",4,"1:3,2:3,3:3,4:3,5:3,6:3,7:3","North America","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3"
317,"1,3,5","1:3,2:3,3:1,4:1,5:0,6:0,7:0,8:3,9:0,10:0,11:0,12:3,13:2,14:1,15:3,16:3,17:2,18:1,19:2,20:2,21:1,22:1,23:3,24:2,25:2","4,11,18,23,24","2,4,9,15","1,2,9,20","2,16","22","1:3,2:3,3:3,4:0,5:3,6:3,7:3,8:3,9:2,10:0,11:2,12:3","3,4","6,8","7",1,"1:3,2:3,3:3,4:2,5:0,6:0,7:0","North America","1:3,2:1,3:3,4:2,5:1,6:1,7:2,8:2,9:1"
318,"1","8:03","4,5,6,23,24","1,3,4,15","1,5,11,12,19,20","2,7,10,16","1,2,3,4,7,8","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","4,8","8",6,"1:3,2:2,3:2,4:2,5:3,6:3,7:3","South Asia","1:3,3:2,4:2,5:3,6:3,7:3,8:3"
319,"3","1:3,2:1,3:1,4:2,5:1,6:3,7:1,8:3,9:3,10:2,11:3,12:3,13:3,14:1,15:2,16:3,17:3,18:3,19:2,20:2,21:3,22:3,23:3,24:2,25:3","1,2,13,23,24","1,4,9,15","1,3,7,8,9,10,11,12,14,16,20,21","1,2,13,16","1,4,7,8,10,11,16,17,18,19,20","1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","6,8","6",1,"1:3,2:1,3:3,4:3,5:1,6:3,7:3","North America","1:3,2:1,3:3,4:3,5:1,6:1,7:3,8:3,9:2"
320,"2","1:3,2:3,3:2,4:2,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:1,14:0,15:2,16:2,17:3,18:1,19:0,20:0,21:1,22:1,23:1,24:1,25:1","1,2,3,4,5,6,7,8,9,10,12,15,23,24","1,4,15","2","2,4,7,16","7","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:2,12:0","3","6,8","8",1,"1:3,2:3,3:2,4:3,5:3,6:1,7:1","East and Southeast Asia","1:3,2:3,3:2,4:3,5:2,6:3,7:2,8:2,9:2"
321,"1","1:3,2:3,3:2,4:1,5:2,6:2,7:2,8:3,9:2,10:2,11:2,12:3,13:1,14:0,15:1,16:3,17:2,18:1,19:0,20:0,21:1,22:1,23:0,24:3,25:2","1,2,5,16,23,24","4,15","1,2,12","1,2,16","1,3","1:3,2:3,3:3,4:3,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2","3","3,4,8","8",4,"1:2,2:3,3:2,4:2,5:2,6:3,7:3","East and Southeast Asia","1:3,2:3,3:1,4:1,5:1,6:1,7:2,8:2,9:1"
322,"3,5","null","23,24","15","null","16","null","null","1","8","10",1,"null","null","null"
323,"1,3","1:3,2:3,3:3,4:3,12:3,16:3,17:3,18:3,25:3","1,2,6,23,24","1,4,9,15","1,2,3,9,10,14,17,18,20","1,2,7,11,13,16","1,7,8,12,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","7,8","3",6,"1:3,2:2,3:2,4:3,5:3,6:3,7:2","South Asia","1:3,2:3,3:3,4:3,6:3,8:2"
324,"2","1:3,2:2,3:3,4:1,5:2,6:1,7:2,8:3,9:2,10:2,11:2,12:2,13:1,14:1,15:1,16:3,17:3,18:3,20:3,21:3,22:3,24:2,25:2","23,24","15","2,7,8,10,12,17,20","16","null","null","1","8","3",6,"null","null","1:2,2:2,3:3,4:3,5:2,6:2,7:2,8:3,9:3"
325,"2,6","1:3,2:1,3:3,4:1,5:3,6:3,9:2,10:2,11:2,12:3,13:2,14:0,15:2,16:1,17:3,18:3,19:3,20:3,21:3,22:3,23:1,24:2,25:2","23,24","15","1,2,3,5,7,9,10,11,12,15,18,20","16","null","null","null","8","2",4,"null","null","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3"
327,"3","1:3,2:2,3:0,4:0,5:0,6:2,7:1,8:2,9:1,10:1,11:1,12:2,13:0,14:0,15:3,16:3,17:3,18:0,19:0,20:0,21:0,22:2,23:0,24:0,25:2","2,4,5,23,24","1,4,15","2,3,7,8,9,12,14,18,20","2,11,16","21","1:1,2:3,3:3,4:3,5:1,6:3,7:2,8:2,9:2,10:2,11:2,12:2","null","6,8","4",1,"1:3,2:3,3:3,4:1,5:1,6:1,7:1","South Asia","1:3,2:2,3:3,4:1,5:1,6:3,7:1,8:1,9:1"
328,"1,2","null","7,9,19,23,24","1,4,15","1,2,8,9,10,12,14","2,7,11,16","1,2,3,4,7,8,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:0,11:0,12:0","1,4","6,8","1",1,"1:3,2:3,3:0,4:3,5:3,6:1,7:3","South Asia","1:3,2:3,3:1,4:2,5:2,6:3,7:3,8:3,9:1"
329,"1,2,3,4,6","1:3,2:3,3:1,4:3,5:1,6:2,7:3,8:3,9:3,10:3,11:3,12:3,13:2,14:1,15:2,16:3,17:3,18:1,19:1,20:1,21:1,22:1,23:1,24:1,25:3","2,4,6,23,24","1,15","1,2,3,5,7,9,10,11,12,14,15,17,18,19,20","2,11,13,16","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,4","3,8","8",1,"1:3,2:3,3:3,4:3,5:3,6:2,7:2","South Asia","1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:2,9:3"
331,"1","1:3,2:1,3:3,4:0,5:1,6:1,7:1,8:2,9:2,10:1,11:2,12:2,13:1,14:0,15:2,16:2,17:2,18:1,19:1,20:2,21:2,22:2,23:0,24:3,25:2","1,2,23,24","13,15","1,3,7,10,11,12,14,17,20","1,2,8,16","1,2,7,21","1:2,2:3,3:1,4:1,5:3,6:1,7:3,8:1,9:3,10:2,11:2,12:3","1","8","8",6,"1:2,4:2","Sub-Saharan Africa","1:2,2:0,3:1,4:3,5:1,6:2,7:2,8:2,9:3"
332,"1,3","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24","1,2,3,4,5,9,15","1,2,3,4,5,7,8,9,10,11,12,16,17,18,19,20,21","1,2,5,11,16","1,2,3,4,6,7,8,9,15,16,17,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","2,8","8",6,"1:3,2:3,3:1,4:3,5:3,6:3,7:3","Sub-Saharan Africa","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3"
333,"1,2,3,4,5,6","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:2,19:2,20:2,21:2,22:2,23:2,24:3,25:2","4,8,10,23,24","1,3,9,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21","1,2,7,16","1,6,7,9,12,14,16,17,21","1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:2,9:2,10:3,11:3,12:3","3,4","1,2,3,8","2",4,"1:3,2:2,3:3,4:2,5:3,6:3,7:2","East and Southeast Asia","1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:3,9:2"
335,"1,5","1:3,2:0,3:0,4:0,5:0,6:1,7:0,8:3,9:0,10:0,11:0,12:3,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:3","2,6,18,23,24","4,9,15","1,2,5,7,8,9,10,11,13,14,15,19,20,21","2,4,5,16","null","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:1,11:1,12:3","3","6,8","5",4,"1:3,2:3,3:1,4:3,5:0,6:1,7:1","North America","1:3,2:3,3:1,4:3,5:3,6:1,7:1,8:2,9:3"
336,"1,2,3,6","1:3,2:2,3:2,4:3,5:2,6:1,7:3,8:2,9:3,10:2,11:3,12:3,13:2,14:2,15:2,16:3,17:3,18:2,19:3,20:1,21:3,22:3,23:2,24:2,25:3","1,10,16,23,24","1,2,4,6,9,15","2,5,9,10,12,14,16,17,19,20,21","1,2,6,12,13,16","2,3,4,5,6,8,18,19,21","1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:2,9:3,10:3,11:3,12:3","4","6,8","7",1,"1:3,2:3,3:1,4:2,5:2,6:1,7:1","Europe","1:3,2:3,3:1,4:3,5:1,6:2,7:1,8:2,9:0"
337,"1,2","1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2,13:2,14:1,15:1,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:1,25:3","1,4,8,23,24","3,6,15","1,2,7,9,11,15","1,2,4,16","2,6,9,16","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,2","2,4,8","5",4,"1:3,2:2,3:1,4:2,5:2,6:2,7:2","North America","1:3,2:3,3:2,4:3,5:2,6:2,7:2,8:2,9:3"
338,"1,2,3,4,5","1:1,2:1,3:0,4:0,5:0,6:0,7:1,8:0,9:0,10:0,11:0,12:1,13:0,14:0,15:2,16:2,17:0,18:0,19:0,20:0,21:2,22:0,23:2,24:2,25:1","1,2,4,23,24","1,4,9,15","1,2,5,8,9,10,12,18,19,20","15,16","23","1:3,2:3,3:3,4:2,5:3,6:0,7:3,8:3,9:3,10:2,11:0,12:3","1","6,8","6",6,"1:0,2:0,3:0,4:0,5:0,6:0,7:0","Middle East and North Africa","1:3,2:3,3:2,4:1,5:1,6:3,7:1,8:1,9:2"
339,"2","null","23,24","15","null","16","null","null","1","8","5",6,"null","null","null"
340,"2,3","1:3,2:2,3:2,4:2,5:2,6:3,7:3,8:3,9:3,10:2,11:2,12:3,13:2,14:2,15:3,16:2,17:3,18:3,19:2,20:3,21:2,22:3,23:2,24:3,25:3","1,2,3,4,5,7,8,9,12,13,15,16,18,19,20,23,24","1,4,7,15","1,3,5,7,8,9,11,12,14,15,18,20","2,8,12,16","1,7,12,16","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:3,10:3,11:3,12:3","1","4,8","8",6,"1:3,2:3,3:3,4:2,5:3,6:2,7:3","Sub-Saharan Africa","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3,9:3"
342,"7","1:1,2:2,3:1","1,2,4,5,23,24","1,2,4,9,15","1,2,3,9,16,17,18,19,20","2,9,16","null","2:3,4:2","3","6,8","8",1,"1:3,2:3","South Asia","1:3,2:3,3:1,4:3,5:1,8:1,9:0"
343,"1,3","1:3,2:3,3:3,4:3,5:1,6:1,7:0,8:0,9:1,10:1,11:2,12:2,13:1,14:0,15:2,16:2,17:1,18:1,19:0,20:0,21:1,22:1,23:0,24:1,25:2","23,24","1,4,9,15","1,9,15,17,19,20,21","16","null","null","1","8","8",6,"null","null","1:3,2:0,3:0,4:3,5:1,6:1,7:1,8:2,9:1"
344,"1,2,3,4,5","1:3,2:0,3:1,4:1,5:0,7:2,8:3,9:3,10:2,11:1,13:0,14:0,15:2,16:2,17:1,18:0,19:0,20:2,21:1,22:0,23:2,24:2,25:3","23,24","1,4,15","1,2,9,10,12,20","1,2,13,16","null","1:3,2:2,3:1,4:3,5:3,6:2,7:1,8:2,9:2,10:1,11:0,12:1","1","8","5",4,"1:3,2:0,3:0,4:3,5:3,6:0,7:2","null","1:2,2:2,3:0,4:3,5:2,6:3,7:2,8:2,9:2"
345,"1,2,3,4,5,6","1:3,2:3,3:0,4:3,5:0,6:0,7:3,8:3,9:2,10:2,11:3,12:3,13:2,14:0,15:2,16:3,17:3,18:1,19:0,20:1,21:2,22:3,23:0,24:0,25:3","1,2,4,5,6,7,8,9,10,11,12,15,16,17,18,19,20,23,24","4,9,15","1,2,3,9,20","2,5,16","1,2,4,5,8,9,14","1:3,2:3,3:3,4:1,5:2,6:3,7:3,8:2,9:2,10:2,11:1,12:3","1","6,8","8",6,"1:3,2:3,3:0,4:0,5:0,6:0,7:0","North America","1:3,2:3,3:1,4:0,5:0,6:0,7:0,8:0,9:0"
346,"2,3","1:1,2:2,3:0,4:0,5:0,6:2,7:0,8:2,9:0,10:0,11:1,12:2,13:0,14:0,15:0,16:2,17:1,18:1,19:0,20:1,21:0,22:0,23:0,24:0,25:1","23,24","14,15","5,9,10,12,17","16","null","null","1","8","7",6,"null","null","1:0,2:0,3:1,4:2,5:0,6:2,7:0,8:1,9:0"
347,"1","1:3,2:1,3:3,4:3,5:1,6:0,7:1,8:0,9:0,10:0,11:2,12:1,13:2,14:2,15:1,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:2,25:2","23,24","1,3,15","1,19,20","16","null","null","1","8","8",6,"null","null","1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0"
348,"1,2,4,5","1:2,2:1,3:1,4:3,5:0,6:2,7:0,8:3,9:3,10:1,11:2,12:2,13:2,14:0,15:1,16:2,17:2,18:0,19:1,20:1,21:2,22:3,23:1,24:3,25:3","23,24","1,4,9,15","1,2,3,7,21","1,2,3,4,11,12,16","null","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:2","1","8","10",4,"1:2,2:3,3:3,4:3,5:3,6:1,7:3","null","1:3,2:3,3:2,4:1,5:3,6:3,7:1,8:2,9:1"
349,"1,2,3,4","1:0,2:3,3:0,4:0,5:0,6:0,7:0,8:2,9:2,10:2,11:0,12:0,13:0,14:0,15:3,16:1,17:0,18:0,19:0,20:2,21:0,22:0,23:0,24:0,25:2","4,23,24","4,15","1,13,17","14,16","null","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","3,4,6,8","4",6,"1:3,2:2,3:0,4:0,5:0,6:0,7:0","South Asia","1:3,2:3,4:3"
350,"3","1:3,2:3,3:1,4:2,5:1,6:2,7:2,8:1,9:2,10:1,11:2,12:1,13:2,14:1,15:2,16:3,17:2,18:2,19:1,20:1,21:1,22:1,23:1,24:1,25:3","2,6,7,10,12,16,23,24","3,4,15","1,7,8,9,10,12,14,17,20","1,12,13,16","1,4,7,21","1:3,2:2,3:3,4:3,6:3,7:3,8:3,12:3","3","6,8","2",6,"1:3,3:2,5:2","South Asia","1:3,2:2,3:2,4:2,6:2,7:2,8:2,9:2"
