"id","prevExp","jobResp","training","research","gathering","engage","metrics","socialMedia","degree","security","position","newsroom","researchFreq","engageFreq","subregion"
464,"7","1:2,3:2,9:2,11:1,12:2,15:2,16:2,17:2,18:3,19:1,20:1,21:2,22:2,23:1,25:2","1,4,5,23,24","14,15","3,9,17,20","1,3,13,16","23","1:3,2:3,3:3,4:2,5:1,6:2,7:2,8:1,9:3,10:2,11:1,12:2","null","2,8","8",1,"1:2,2:1,3:2,4:1,5:1,6:1,7:1,8:2","1:2,2:1,3:3,4:3,5:1,6:1,7:1","Sub-Saharan Africa"
465,"7","1:0,2:0,3:1,4:3,5:0,6:0,7:2,8:3,9:1,10:1,11:2,12:2,13:2,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","21,23,24","13,15","1,2,7,10,11,12,20","15,16","22","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:0,10:0,11:0,12:0","3","8","1",6,"1:3,2:3,3:3,4:3,5:3,6:2,7:1,8:1","1:3,2:3,3:1,4:0,5:0,6:0,7:0","East and Southeast Asia"
466,"3","1:3,2:2,3:3,4:0,5:1,6:1,7:2,8:3,9:2,10:1,11:2,12:3,13:1,14:1,15:1,16:3,17:2,18:2,19:1,20:3,21:2,22:2,23:3,24:1,25:3","6,8,9,23,24","1,6,15","1,2,9,12,18,20","2,10,11,16","23","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:2,10:1,11:2,12:3","1","4,8","8",1,"1:1,2:2,3:2,4:1,5:0,6:2,7:2,8:3","1:2,2:2,3:1,4:1,5:3,6:3,7:3","Sub-Saharan Africa"
467,"1,2,3","1:3,2:3,3:0,4:0,5:0,6:0,7:0,8:1,9:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:2,18:2,19:3,20:0,21:0,22:0,23:0,24:2,25:2","2,4,12,23,24","13,15","1,2,8,10,12,17,20","2,9,12,13,16","6,7,13,16,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","5",1,"1:3,2:1,3:1,4:1,5:1,6:1,7:1,8:1","1:3,2:0,3:0,4:1,5:0,6:0,7:0","Europe"
469,"3,4,6","1:3,2:1,3:3,4:3,5:2,6:1,7:2,8:3,9:3,10:3,11:3,12:3,13:3,14:1,15:3,16:3,17:3,18:2,19:2,20:2,21:3,22:3,23:1,24:1,25:3","1,4,5,9,13,14,17,21,23,24","2,4,7,8,9,12,15","1,2,10,16,21","2,3,13,16","1,2,3,6,8,9,11,14,18,19,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","4,8","7",3,"1:3,2:3,3:3,4:3,5:3,6:2,7:2,8:3","1:3,2:3,3:3,4:3","Europe"
471,"2","1:2,2:2,3:2,4:2,5:2,6:2,7:3,8:3,9:3,10:3,11:3,12:3,13:2,14:2,15:3,16:3,17:3,18:2,19:2,20:2,21:2,22:2,23:2,24:3,25:3","5,23,24","1,3,4,15","1,2,3","2,4,11,16","1,7,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:2,12:3","null","6,8","8",3,"1:3,2:3,3:2,4:2,5:2,6:3,7:2,8:2","1:3,2:3,3:2,4:2,5:3,6:2,7:2","South Asia"
472,"1,2,3,5","1:3,2:0,3:2,4:2,5:0,6:0,7:0,8:3,9:2,10:2,11:2,12:2,13:2,14:0,15:2,16:3,17:3,18:0,19:0,20:3,22:0,23:3,24:2,25:0","6,7,8,9,10,11,12,19,23,24","1,4,8,9,12,15","1,2,3,4,5,7,8,9,10,11,12,13,17,18,19,20","1,2,16","22","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,2,4","6,8","7",6,"1:3,2:3,3:3,4:3,5:3,6:3,7:1,8:1","1:3,2:3,3:3,4:3,5:3,6:0,7:1","North America"
473,"1","1:3,2:3,3:0,4:0,5:0,6:3,7:3,8:1,9:3,10:0,11:0,12:3,13:0,14:0,15:3,16:2,17:1,18:1,19:0,20:2,21:2,22:0,23:2,24:3,25:3","2,6,18,23,24","1,4,15","7,8,9,12,17,20,21","2,3,12,16","1,14,15,18,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:3,10:2,11:2,12:2","1","2,3,8","6",4,"1:3,2:2,3:2,4:1,5:0,6:3,7:2,8:2","1:2,2:1,3:1,4:1,5:3,6:2,7:2","Sub-Saharan Africa"
474,"1","1:0,2:0,3:0,4:0,5:0,6:2,7:0,8:2,9:2,10:0,11:0,12:0,13:0,14:0,15:0,16:2,17:2,18:0,19:0,20:0,21:0,22:0,23:2,24:0,25:2","1,2,6,9,10,11,14,15,16,17,18,19,23,24","4,15","1,3,7,10,12","2,3,4,16","1,2,3,4,5,6,7,8,11,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","6,8","6",6,"1:3,3:3,4:3,7:3,8:3","1:3,2:0,3:3,4:3,5:0,6:3,7:3","North America"
475,"2,3","1:3,2:3,3:3,4:3,5:1,6:2,7:2,8:3,9:3,10:1,11:3,12:3,13:3,14:1,15:3,16:3,17:3,18:3,19:2,20:2,21:2,22:2,23:3,24:3,25:3","1,2,5,23,24","4,15","1,2,4,7,9,10,14,15,16,19","2,5,16","4,5,6,7,8,9,11","1:3,2:3,3:3,4:2,5:3,6:3,7:2,8:3,9:3,10:3,11:3,12:3","3","6,8","8",1,"1:3,2:0,3:3,4:3,5:3,6:3,7:1,8:2","1:3,2:0,3:2,4:2,5:3,6:1,7:1","Sub-Saharan Africa"
476,"1,3,6","1:3,2:3,3:1,4:3,5:2,6:2,7:1,8:3,9:3,10:1,11:2,12:3,13:2,14:2,15:2,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:2,24:3,25:1","2,5,11,23,24","1,4,15","1,2,3,7,9,10,14,16,17,18,19,20","1,2,3,11,12,13,16","2,4,6,7,11,16,17,19,21","1:2,2:3,3:3,4:1,5:3,6:3,7:3,8:2,9:3,10:3,11:2,12:3","4","6,8","5",4,"1:2,2:3,3:2,4:3,5:3,6:3,7:1,8:3","1:3,2:3,3:2,4:3,5:3,6:1,7:2","South Asia"
478,"3","1:2,2:3,3:3,4:0,5:0,6:0,7:0,8:1,9:2,10:2,11:2,12:3,13:0,14:0,15:3,16:3,17:2,18:3,19:0,20:2,21:3,22:2,23:0,24:3,25:3","2,4,5,23,24","1,4,9,15","1,2,3,7,9,15,20","2,11,13,16","4,5,6,7,8,9,10,14,16","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:2,10:2,11:2,12:2","3","2,3,8","8",1,"1:3,2:3,3:3,4:2,5:1,6:3,7:2,8:2","1:3,2:3,3:3,4:0,5:3,6:2,7:3","Sub-Saharan Africa"
480,"7","1:3,2:2,3:1,4:1,5:1,6:1,7:1,8:2,9:2,10:2,11:2,12:2,13:2,14:2,15:2,16:2,17:2,18:2,19:0,20:0,21:0,22:0,23:0,24:0,25:1","4,6,9,13,16,17,18,20,23,24","1,4,9,15","1,2,10,12","1,2,13,16","22","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","5",1,"1:3,2:2,3:1,4:2,5:2,6:2,7:2,8:3","1:3,2:2,3:1,4:1,5:2,6:3,7:3","South Asia"
481,"1,2,3,5","1:2,2:3,3:1,4:2,5:0,6:2,7:0,8:3,9:1,10:1,11:3,12:3,13:0,14:1,15:0,16:0,17:0,18:0,19:0,20:1,21:0,22:0,23:0,24:2,25:1","1,4,5,23,24","1,2,3,4,5,6,9,10,15","1,2,5,9,10,12,13,15,18,19,20","1,2,4,7,8,10,11,16","22","1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2","1,2,4","2,3,4,8","7",6,"1:2,2:2,3:1,4:2,5:0,6:2,7:2,8:2","1:2,2:2,3:2,4:2,5:2,6:2,7:2","Europe"
482,"2","1:3,2:3,3:3,4:3,5:2,6:2,7:3,8:3,9:2,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","2,5,10,23,24","1,3,4,15","1,2,3,7,9,11,14,18,19,20","1,2,13,16","19","1:2,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:3,10:2,11:2,12:3","null","3,8","8",1,"1:3,2:2,3:3,4:2,5:3,6:3,7:2,8:3","1:3,2:2,3:2,4:2,5:3,6:2,7:3","Sub-Saharan Africa"
483,"7","1:1,2:1,3:3,4:1,5:2,6:2,7:1,8:2,9:2,10:2,11:1,12:1,13:1,14:1,15:1,16:2,17:2,18:1,19:1,20:2,21:0,22:0,23:0,24:0,25:3","2,5,6,8,13,14,15,18,23,24","13,15","10,18,20","13,16","22","1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2,9:2,10:2,11:2,12:2","1","2,4,8","5",1,"1:2,2:0,3:2,4:2,5:0,6:2,7:2,8:2","1:2,2:0,3:1,4:2,5:0,6:2,7:2","Sub-Saharan Africa"
485,"1,2,3","1:3,2:2,3:1,4:0,5:0,6:3,7:1,8:3,9:3,10:1,11:1,12:3,13:0,14:0,15:1,16:3,17:3,18:2,19:1,20:1,21:3,22:3,23:0,24:0,25:3","11,16,17,23,24","1,4,9,15","1,2,12,18,20","1,2,11,16","2,4,5","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:2,9:3,10:3,11:3,12:3","1","8","7",1,"1:3,2:2,3:2,4:1,5:0,6:3,7:2,8:3","1:3,2:3,3:1,4:1,5:3,6:2,7:3","Sub-Saharan Africa"
486,"2","1:1,2:0,3:3,4:3,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:1,13:0,14:0,15:0,17:1,18:1,19:0,20:0,21:0,22:0,23:1,24:1,25:0","21,23,24","1,15","9,10,11,20","2,9,11,16","22","1:3,2:3,3:3,4:2,5:3,6:2,7:2,8:2,9:3,10:2,11:3,12:2","3","6,8","3",1,"1:1,2:2,3:1,4:2,5:0,6:1,7:1,8:2","1:3,2:2,3:0,4:2,5:3,6:1,7:1","Sub-Saharan Africa"
487,"2,3,5","1:3,2:3,3:1,4:1,5:2,6:2,7:3,8:3,9:2,10:2,11:2,12:2,13:2,14:2,15:3,16:3,17:3,18:2,19:2,20:2,21:2,22:2,23:2,24:2,25:2","2,4,6,23,24","1,4,13,15","1,2,5,12,17","2,16","2,4,16","1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:2,9:3,10:3,11:3,12:3","1","7,8","6",4,"1:3,2:3,3:2,4:2,5:1,6:3,7:2,8:3","1:3,2:3,3:2,4:2,5:3,6:2,7:3","Sub-Saharan Africa"
489,"3","1:3,2:3,3:2,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:2,14:3,15:3,16:3,18:3,19:2,20:3,21:3,22:3,23:3,24:3,25:3","2,4,16,19,23,24","1,5,15","1,2,5,7,12","2,9,16","1,2,3,4,5,6,16,18","1:2,2:3,3:2,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","3,8","6",4,"1:3,2:2,3:2,4:2,5:2,6:2,7:2,8:2","1:3,3:2,4:2,5:3","Sub-Saharan Africa"
490,"3,5","1:3,2:3,3:2,4:2,5:0,6:3,7:3,8:3,9:2,10:2,11:2,12:3,13:0,14:0,15:3,16:3,17:3,18:2,19:0,20:2,21:3,22:3,23:2,24:3,25:3","1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,23,24","1,3,4,9,15","1,2,3,5,6,7,8,9,10,11,12,14,18,19,20,21","1,2,3,4,5,7,9,11,12,13,16","1,2,4,5,6,7,8,9,10,11,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","2,4","2,4,5,8","10",2,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3","South Asia"
491,"1,2,3","1:3,2:3,3:2,4:2,5:2,6:2,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:0,15:1,16:3,17:3,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:3","1,2,5,23,24","2,4,9,15","1,2,3,4,5,7,9,10,12,14,15,17,18,20","1,2,13,16","7","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","3,8","8",6,"1:3,2:2,3:2,4:2,5:1,6:2,7:2,8:3","1:3,2:2,3:2,4:0,5:0,6:0,7:1","North America"
493,"1,3","1:3,2:2,3:2,4:2,5:2,6:3,7:2,8:3,9:2,10:2,11:2,12:2,13:2,14:2,15:2,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:3,25:2","4,6,7,23,24","1,4,8,15","2,3,7,9,10,12,15,16,18,19,20","1,2,8,9,11,13,16","1,22","1:3,2:3,3:3,4:3,5:2,6:2,7:3,8:2,9:2,10:2,11:2,12:2","1,4","6,8","7",3,"1:2,2:2,3:2,4:2,5:2,6:3,7:2,8:3","1:2,2:2,3:2,4:2,5:3,6:2,7:3","North America"
494,"1,2,3,4,5","1:3,2:0,3:3,4:3,5:0,6:0,7:1,8:3,9:1,10:3,11:3,12:3,13:2,14:0,15:3,16:0,17:0,18:0,19:0,20:0,21:3,22:3,23:0,24:0,25:2","1,4,19,23,24","2,4,9,15","1,2,3,4,5,7,8,9,10,11,12,13,14,16,18,20,21","1,2,4,16","1,2,4,5,6,18,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","6,8","1",4,"1:3,2:3,3:3,4:3,5:2,6:2,7:1,8:1","1:3,2:3,3:2,4:2,5:3,6:0,7:1","North America"
497,"2","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3,9:3,10:2,11:2,12:3,13:2,14:2,15:2,16:3,17:3,18:2,19:2,20:2,21:2,22:3,23:3,24:2,25:3","1,4,5,23,24","1,4,6,15","1,2,3,5,7,9,10,12,16,18,19,20","1,2,4,9,11,13,16","1,4,5,7,9,12,15,16,17,18,19,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","3","2,4,8","10",4,"1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3","Sub-Saharan Africa"
498,"2","1:2,2:2,3:3,4:1,5:1,6:2,7:2,8:3,9:2,10:1,11:3,12:2,13:1,14:1,15:2,16:3,17:2,18:2,19:1,20:2,21:1,22:1,23:1,24:2,25:2","2,4,14,19,23,24","1,2,4,15","1,2,7,12,15,20,21","8,12,13,16","11,13","1:3,2:3,3:3,4:2,5:2,6:2,7:3,8:2,9:2,10:2,11:2,12:2","1","6,8","8",4,"1:2,2:2,3:1,4:1,5:1,6:2,7:1,8:2","1:2,2:2,3:1,4:1,5:2,6:1,7:2","Sub-Saharan Africa"
499,"7","1:2,2:1,3:0,4:0,5:1,6:1,7:0,8:0,9:1,10:1,11:0,12:2,13:0,14:0,15:1,16:2,17:2,18:1,19:0,20:0,21:1,22:2,23:2,24:2,25:2","4,6,9,19,23,24","4,15","2,8,9,12,13,19,20,21","2,13,16","4,5,21","1:3,2:3,3:3,4:1,5:1,6:2,7:2,8:2,9:2,10:2,11:1,12:3","3","4,8","8",1,"1:2,2:3,3:1,4:1,5:1,6:2,7:1,8:2","1:2,2:3,3:1,4:0,5:1,6:1,7:2","North America"
501,"2,4,6","1:2,2:0,3:0,4:3,5:2,6:0,7:3,8:1,9:2,10:2,11:2,12:0,13:3,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","1,2,3,4,5,6,7,10,23,24","1,3,15","1,2,10,11","14,16","null","1:2,2:2,3:2,4:1,5:2,6:0,7:3,8:1,9:1,10:1,11:1,12:2","3","4,8","8",6,"1:3,2:2,3:2,4:2,5:0,6:0,7:2,8:2","1:2,2:0,3:0,4:0,5:0,6:0,7:0","South Asia"
503,"7","1:1,2:2,3:1,4:2,5:1,6:3,7:2,8:2,9:3,10:2,11:2,12:1,13:1,14:1,15:3,16:3,17:3,18:1,19:1,20:1,21:2,22:1,23:1,24:1,25:3","2,4,8,23,24","2,4,9,15","1,2,3,8,9,10,12,14,17,20","1,2,3,7,13,16","2,8,16","1:2,2:3,3:3,4:1,5:3,6:3,7:3,8:3,9:2,10:1,11:1,12:1","4","6,8","8",1,"1:3,2:2,3:2,4:2,5:1,6:2,7:2,8:3","1:3,2:3,3:2,7:3","North America"
504,"2","1:1,2:2,3:1,4:1,5:0,6:2,7:2,8:3,9:3,10:1,11:1,12:3,13:0,14:0,15:1,16:3,17:2,18:0,19:0,20:0,21:3,22:3,23:0,24:1,25:3","2,3,4,5,6,7,8,9,12,15,18,23,24","1,4,9,15","1,2,3,5,9,10,12,13,14,17,18,19,20,21","2,3,5,16","1,2,4,16,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:3,10:2,11:2,12:2","4","6,8","8",1,"1:3,2:3,3:3,4:3,5:1,6:3,7:1,8:3","1:3,2:3,3:1,4:1,5:3,6:0,7:0","Sub-Saharan Africa"
505,"1,2,3,4,5,6","1:3,2:3,3:1,4:2,5:0,6:2,7:2,8:2,9:2,10:2,11:3,12:3,13:2,14:0,15:2,16:3,17:3,18:3,19:2,20:2,21:2,22:2,23:2,24:2,25:3","1,4,5,7,11,13,14,16,19,23,24","1,3,4,5,9,15","1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,20,21","1,2,13,16","1,2,6,8,9,21","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3,9:3,10:3,11:2,12:3","3,4","8","10",4,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:2,4:3,5:2,6:2,7:3","North America"
506,"1,2,3,4,5,6","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24","1,2,3,4,5,6,7,8,9,10,11,12,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2,3,4,5,6,7,8,9,10,11,12,13,16","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1,2,3,4","1,2,3,4,5,8","5",4,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3","Sub-Saharan Africa"
507,"7","1:3,2:1,3:3,4:1,5:2,6:1,7:0,8:3,9:1,11:2,12:2,13:1,14:0,15:0,17:3,18:0,19:0,20:0,21:0,22:0,23:2,24:0,25:3","21,23,24","1,4,14,15","10,12,14,15,17,18,20","2,5,8,16","22","1:1,2:3,3:2,4:2,5:0,6:3,7:2,8:2,9:1,10:0,11:0,12:2","1","6,8","8",1,"1:0,2:1,3:0,4:3,5:0,6:2,7:1,8:2","1:2,2:2,3:0,4:2,5:3,6:1,7:1","Sub-Saharan Africa"
510,"2","1:3,2:3,3:3,4:3,5:3,6:2,7:2,8:3,9:3,10:3,11:3,12:3,13:3,14:1,15:1,16:1,17:3,18:0,19:0,20:2,21:3,22:3,23:3,24:3,25:3","15,16,19,23,24","5,15","2,17,19","2,3,5,16","1,3,6,8,10,18","1:3,2:3,3:2,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","2,8","8",4,"1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:2","1:3,2:3,3:1,4:1,5:1,6:3,7:3","Sub-Saharan Africa"
511,"1,3","1:3,2:3,3:2,4:2,5:1,6:2,7:3,8:3,9:3,10:3,11:3,12:3,13:1,14:1,15:3,16:2,17:2,18:2,19:1,20:2,21:2,22:2,23:1,24:1,25:3","16,18,19,23,24","1,4,5,9,15","1,2,3,5,7,8,9,10,11,12,13,14,15,17,18,19,20,21","2,5,11,16","3,6","1:2,2:3,3:2,4:3,6:3,7:2,8:0,9:3,10:1,11:1,12:3","1,2","6,8","6",6,"1:3,2:3,3:2,4:3,5:2,6:3,7:1,8:1","1:3,2:3,3:2,4:3,5:3,6:1,7:1","Sub-Saharan Africa"
513,"1,3","1:2,2:2,3:0,4:0,5:0,6:0,7:1,8:1,9:0,10:0,11:2,12:2,13:0,14:2,15:2,16:2,17:2,18:2,19:1,20:1,21:2,22:2,23:2,24:1,25:2","4,5,15,23,24","14,15","20","13,16","21","1:2,2:2,6:2,10:2","4","6,8","5",1,"1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0","1:03","South Asia"
514,"1,2,3,5,6","1:3,2:3,3:3,4:1,5:3,6:1,7:3,8:3,9:3,10:2,11:3,12:3,13:1,15:1,16:3,17:3,18:3,19:3,20:3,21:3,22:3,24:3,25:3","1,4,5,23,24","1,2,4,6,9,11,12,15","1,2,3,5,8,10,12,14,16,17,18,20,21","1,2,7,8,9,10,11,12,13,16","1,4,5,18","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","2,3,4,8","3",5,"1:2,2:2,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:2","Sub-Saharan Africa"
515,"1,2","1:2,2:2,3:2,4:2,5:0,6:0,7:0,8:0,9:1,10:0,11:0,12:0,13:0,14:0,16:2,17:2,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:2","1,3,10,23,24","1,4,15","1,2,3,5","2,11,13,16","22","1:3,2:3,3:2,4:2,5:1,6:2,7:2,8:2,9:3,10:2,11:2,12:3","null","7,8","8",6,"1:3,2:2,3:2,4:2,5:0,6:3,7:0,8:1","1:3,2:2,3:2,4:2,5:3,6:0,7:1","Sub-Saharan Africa"
516,"1","9:03","4,23,24","6,15","20","2,12,13,16","16,18,21","1:2,2:2,3:2","4","2,4,6,8","8",3,"8:03","1:3,6:3,7:3","South Asia"
518,"1,2,6","1:3,2:2,3:3,4:3,5:2,6:2,7:3,8:2,9:2,10:3,11:3,12:2,13:3,14:1,15:2,16:3,17:3,18:0,19:0,20:2,21:2,22:2,23:3,24:3,25:2","4,7,11,19,23,24","1,4,9,15","1,2,3,8,10,12,14,18,19,20,21","2,4,5,16","1,4,6,12,16,21","1:2,2:3,3:2,4:2,5:3,6:3,7:2,8:3,9:3,10:2,11:2,12:2","3","4,7,8","8",6,"1:2,2:2,3:0,4:2,5:0,6:2,7:1,8:1","1:3,2:3,3:1,4:3,5:2,6:1,7:1","Middle East and North Africa"
519,"3","1:3,2:1,3:2,4:0,5:1,6:0,7:2,8:3,9:3,10:3,11:2,12:3,13:3,14:3,15:3,16:2,17:2,18:0,19:0,20:0,21:0,22:0,23:1,24:0,25:1","2,4,5,6,7,8,10,23,24","4,5,7,8,9,11,12,15","1,2,3,4,5,6,7,9,10,11,20","1,2,3,4,5,16","1,2,3,4,6,11,12,14","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","2,8","5",6,"1:3,2:3,3:0,4:3,5:3,6:2,7:0,8:1","1:3,2:3,3:2,5:3,6:2,7:2","South Asia"
521,"1,2,3,6","1:3,2:1,3:3,4:2,5:1,6:0,7:0,8:0,9:3,10:3,11:3,12:3,13:2,14:1,15:3,16:3,17:2,18:1,19:0,20:3,21:3,22:3,23:0,24:1,25:3","1,4,9,23,24","6,7,11,15","3,7,8,9,14,17,21","2,3,7,10,12,16","2,8,13,15,16,17,18","1:3,2:3,3:3,4:3,5:2,6:3,7:2,8:2,9:2,10:1,11:2,12:3","1","8","8",6,"1:1,3:3,4:3,5:2,6:0,7:1,8:3","1:3,2:0,3:3,4:3,5:2,6:0,7:2","Sub-Saharan Africa"
522,"2,3,6","1:3,2:2,3:1,4:1,5:0,6:0,7:3,8:3,9:2,10:1,11:2,12:2,13:1,14:0,15:0,16:2,17:2,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:3","2,4,6,23,24","4,6,9,15","1,2,5,7,8,9,10,11,12,14,15,20,21","2,8,16","2,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:1,11:1,12:3","4","6,8","8",1,"1:3,2:3,3:3,4:3,5:2,6:1,7:3,8:3","1:3,2:3,3:3,4:1,5:0,6:1,7:1","North America"
525,"7","1:1,2:1,3:1,4:2,5:0,6:0,7:1,8:2,9:2,10:2,11:2,12:3,13:3,14:0,15:2,17:2,18:1,19:1,20:1,21:1,22:1,23:1,24:1,25:1","1,2,4,5,6,7,9,10,13,17,18,23,24","1,4,6,15","1,2,7,8,9,10,11,12,14,15,17,19,20,21","1,2,4,16","1,2,4,5,6,7,8,9,16,21","1:3,2:3,3:3,4:1,5:3,6:3,7:3,8:3,9:2,10:2,11:2,12:3","1","6,8","8",6,"1:3,2:3,3:1,4:2,5:2,6:3,7:3,8:3","1:3,2:3,4:3,5:2","South Asia"
527,"1,2,4,5,6","1:3,2:2,3:3,4:3,5:2,6:1,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:1,15:3,16:3,17:3,18:0,19:0,20:2,21:2,22:3,23:2,24:3,25:3","2,5,9,23,24","1,2,3,4,7,9,12,15","1,3,9,10,11,12,14,16,17,18,19,20","1,2,4,5,13,16","1,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","4","6,8","7",1,"1:3,2:3,3:3,4:3,5:3,6:3,7:2,8:3","1:3,2:3,3:2,4:3,5:3,6:2,7:3","South Asia"
529,"1","1:3,2:1,3:1,4:1,5:2,6:2,7:0,8:2,9:2,10:3,11:2,12:3,13:0,14:0,15:3,16:3,17:3,18:2,19:3,20:2,21:2,22:3,23:2,24:1,25:2","2,7,9,23,24","4,9,11,15","1,2,8,9,16,17,19,20,21","2,12,13,16","2,3,5,6,7,8,9,16,17,18,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","3","6,8","5",4,"1:3,2:3,3:3,4:2,5:1,6:1,7:2,8:2","1:3,2:3,3:3,4:1,5:0,6:3,7:3","North America"
530,"1,4,5","1:1,2:1,3:0,4:0,5:0,6:0,7:2,8:3,9:3,10:1,11:2,12:3,13:0,14:0,15:1,16:3,17:3,18:1,19:0,20:0,21:0,22:1,23:0,24:0,25:3","2,8,12,23,24","2,4,14,15","1,2,7,8,9,10,11,12,14,16,17,20,21","2,16","23","1:2,2:3,3:2,4:1,5:3,6:2,7:3,8:1,9:1,10:0,11:0,12:3","2","7,8","8",4,"1:1,2:2,3:2,4:2,5:1,6:0,7:2,8:2","1:0,2:3,3:2,4:0,5:0,6:0,7:0","North America"
531,"3","1:1,2:3,3:0,4:0,5:0,6:0,7:0,8:0,9:2,10:2,11:0,12:2,13:0,14:0,15:0,16:3,17:3,18:1,19:0,20:0,21:0,22:0,23:0,24:0,25:2","1,2,4,23,24","1,4,9,15","1,20","2,13,16","1,2,3,6,7,8,10,13,14,15,19,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:1,9:3,10:2,11:2,12:3","null","7,8","5",6,"1:3,2:0,3:0,4:1,5:0,6:2,7:0,8:1","1:3,2:0,3:0,4:0,5:1,6:0,7:0","South Asia"
